year,round,type,institute,program,quota,category,gender,orank,crank
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mathematics and Computing (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral",989,1200
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mathematics and Computing (4 Years, Bachelor of Technology)","AI","SC","Female-only",2114,2114
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mathematics and Computing (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral",619,769
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral",7759,11678
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only",17144,20366
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral",154,154
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral",1573,1717
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only",2880,3157
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral",3085,4142
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only",6760,7664
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral",1859,2479
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only",3073,3388
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral",915,1134
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only",1532,1578
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral",11591,16268
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only",21631,22981
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral",2436,2514
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral",5336,5774
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only",8849,9160
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral",2742,3054
